Area,Area Id,Variable Name,Variable Id,Year,Value
Botswana,20,Surface water: outflow to other countries secured through treaties,4174,1982,0
Botswana,20,Surface water: total external renewable,4176,1982,9.84
Brazil,21,Surface water: inflow secured through treaties,4162,1982,0
Brazil,21,Surface water: total flow of border rivers,4165,1982,0
Brazil,21,Surface water: accounted flow of border rivers,4168,1982,0
Brazil,21,Surface water: accounted inflow,4164,1982,2986
Brazil,21,Surface water: leaving the country to other countries (total),4171,1982,585.7
Brazil,21,Surface water: outflow to other countries not submitted to treaties,4172,1982,585.7
Brazil,21,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Brazil,21,Surface water: outflow to other countries secured through treaties,4174,1982,0
Brazil,21,Surface water: total external renewable,4176,1982,2986
Brunei Darussalam,26,Surface water: inflow secured through treaties,4162,1982,0
Brunei Darussalam,26,Surface water: total flow of border rivers,4165,1982,0
Brunei Darussalam,26,Surface water: accounted flow of border rivers,4168,1982,0
Brunei Darussalam,26,Surface water: accounted inflow,4164,1982,0
Brunei Darussalam,26,Surface water: leaving the country to other countries (total),4171,1982,0
Brunei Darussalam,26,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Brunei Darussalam,26,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Brunei Darussalam,26,Surface water: outflow to other countries secured through treaties,4174,1982,0
Brunei Darussalam,26,Surface water: total external renewable,4176,1982,0
Bulgaria,27,Surface water: inflow secured through treaties,4162,1982,0
Bulgaria,27,Surface water: total flow of border rivers,4165,1982,179
Bulgaria,27,Surface water: accounted flow of border rivers,4168,1982,0
Bulgaria,27,Surface water: accounted inflow,4164,1982,0.3
Bulgaria,27,Surface water: leaving the country to other countries (total),4171,1982,16.9
Bulgaria,27,Surface water: outflow to other countries not submitted to treaties,4172,1982,16.9
Bulgaria,27,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Bulgaria,27,Surface water: outflow to other countries secured through treaties,4174,1982,0
Bulgaria,27,Surface water: total external renewable,4176,1982,0.3
Burkina Faso,233,Surface water: inflow secured through treaties,4162,1982,0
Burkina Faso,233,Surface water: total flow of border rivers,4165,1982,0
Burkina Faso,233,Surface water: accounted flow of border rivers,4168,1982,0
Burkina Faso,233,Surface water: accounted inflow,4164,1982,1
Burkina Faso,233,Surface water: leaving the country to other countries (total),4171,1982,15.2
Burkina Faso,233,Surface water: outflow to other countries not submitted to treaties,4172,1982,15.2
Burkina Faso,233,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Burkina Faso,233,Surface water: outflow to other countries secured through treaties,4174,1982,0
Burkina Faso,233,Surface water: total external renewable,4176,1982,1
Burundi,29,Surface water: inflow secured through treaties,4162,1982,0
Burundi,29,Surface water: total flow of border rivers,4165,1982,4.7
Burundi,29,Surface water: accounted flow of border rivers,4168,1982,2.35
Burundi,29,Surface water: accounted inflow,4164,1982,2.476
Burundi,29,Surface water: leaving the country to other countries (total),4171,1982,7.6
Burundi,29,Surface water: outflow to other countries not submitted to treaties,4172,1982,7.6
Burundi,29,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Burundi,29,Surface water: outflow to other countries secured through treaties,4174,1982,0
Burundi,29,Surface water: total external renewable,4176,1982,2.476
